"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2017","133.70","131.48","133.93","128.50","33.28M","2.01%"
"01/01/2017","131.07","124.96","133.88","124.31","38.12M","5.87%"
"12/25/2016","123.80","126.24","129.07","123.60","17.58M","-1.43%"
"12/18/2016","125.59","124.30","127.74","122.87","21.49M","1.10%"
"12/11/2016","124.22","122.84","127.43","122.30","30.84M","1.09%"
"12/04/2016","122.88","120.73","126.35","118.40","41.03M","1.71%"
"11/27/2016","120.81","117.05","120.98","113.95","37.67M","2.90%"
"11/20/2016","117.41","116.20","119.46","116.19","20.21M","1.91%"
"11/13/2016","115.21","114.75","116.81","110.68","36.29M","0.37%"
"11/06/2016","114.78","124.26","125.81","113.11","49.02M","-5.94%"
"10/30/2016","122.03","126.85","126.90","121.62","28.43M","-3.59%"
"10/23/2016","126.57","127.42","129.29","125.75","46.83M","-0.73%"
"10/16/2016","127.50","100.50","127.85","98.38","124.06M","25.65%"
"10/09/2016","101.47","103.18","104.53","97.63","41.01M","-3.20%"
"10/02/2016","104.82","98.00","106.97","98.00","55.68M","6.36%"
"09/25/2016","98.55","95.38","99.53","94.04","39.68M","2.72%"
"09/18/2016","95.94","99.90","100.35","93.26","50.79M","-3.56%"
"09/11/2016","99.48","95.91","99.49","95.33","42.78M","3.09%"
"09/04/2016","96.50","97.76","100.32","96.50","28.08M","-0.90%"
"08/28/2016","97.38","96.97","98.85","96.57","27.19M","-0.20%"
"08/21/2016","97.58","95.67","98.25","94.91","34.79M","1.78%"
"08/14/2016","95.87","96.83","97.22","94.40","36.13M","-0.75%"
"08/07/2016","96.59","95.91","96.83","92.95","40.96M","-0.45%"
"07/31/2016","97.03","91.23","97.74","90.50","51.94M","6.33%"
"07/24/2016","91.25","85.73","93.10","85.01","55.63M","6.24%"
"07/17/2016","85.89","98.43","99.84","84.50","135.32M","-12.70%"
"07/10/2016","98.39","96.19","98.70","94.09","52.59M","1.37%"
"07/03/2016","97.06","95.20","101.27","93.18","60.43M","0.40%"
"06/26/2016","96.67","87.88","97.00","84.81","62.27M","9.31%"
