"Date","Price","Open","High","Low","Vol.","Change %"
"10/17/2021","138.63","141.21","144.25","137.17","94.86M","-2.15%"
"10/10/2021","141.68","139.80","142.20","136.25","98.20M","1.16%"
"10/03/2021","140.06","135.70","140.32","131.17","112.60M","2.63%"
"09/26/2021","136.46","141.59","142.50","133.00","151.12M","-4.33%"
"09/19/2021","142.63","139.00","142.90","137.05","107.34M","0.83%"
"09/12/2021","141.46","143.20","145.58","141.06","140.09M","-0.32%"
"09/05/2021","141.92","144.75","146.02","141.74","78.36M","-1.97%"
"08/29/2021","144.77","144.70","146.82","143.51","100.46M","0.16%"
"08/22/2021","144.55","139.00","145.01","138.75","88.55M","4.42%"
"08/15/2021","138.44","138.00","138.99","135.36","88.12M","0.02%"
"08/08/2021","138.41","136.95","138.85","136.43","70.86M","1.00%"
"08/01/2021","137.04","135.48","137.08","134.18","81.17M","1.34%"
"07/25/2021","135.22","138.25","140.01","134.81","163.14M","-1.88%"
"07/18/2021","137.82","131.16","138.81","128.54","99.52M","4.53%"
"07/11/2021","131.85","129.83","133.00","129.60","82.94M","1.75%"
"07/04/2021","129.57","129.45","130.64","128.04","72.92M","0.66%"
"06/27/2021","128.72","127.00","128.85","124.76","111.36M","1.36%"
"06/20/2021","127.00","125.74","127.80","125.13","119.36M","1.14%"
"06/13/2021","125.57","125.67","127.20","124.15","150.11M","-0.10%"
"06/06/2021","125.70","122.57","126.35","122.05","125.52M","2.54%"
"05/30/2021","122.59","121.10","122.69","119.14","80.62M","1.67%"
"05/23/2021","120.58","118.35","122.15","118.01","125.01M","2.83%"
"05/16/2021","117.25","115.47","118.45","113.18","103.17M","1.25%"
"05/09/2021","115.81","118.74","118.90","111.50","146.34M","-3.44%"
"05/02/2021","119.93","120.14","120.99","115.58","134.61M","-0.47%"
"04/25/2021","120.51","116.00","122.62","115.21","191.23M","4.10%"
"04/18/2021","115.76","114.60","116.29","112.82","120.20M","0.76%"
"04/11/2021","114.89","113.31","115.33","111.92","124.93M","0.52%"
"04/04/2021","114.29","107.65","114.45","107.58","144.21M","6.93%"
"03/28/2021","106.89","101.39","107.15","100.78","108.51M","5.02%"
"03/21/2021","101.78","102.09","103.91","100.54","147.77M","-0.37%"
"03/14/2021","102.16","103.11","106.18","100.88","155.32M","-0.91%"
"03/07/2021","103.10","105.06","106.44","101.08","151.56M","-2.21%"
"02/28/2021","105.43","102.83","105.91","100.50","166.74M","3.52%"
"02/21/2021","101.84","103.35","105.04","100.10","163.91M","-3.06%"
"02/14/2021","105.06","105.22","107.63","104.87","95.69M","-0.14%"
"02/07/2021","105.21","105.30","106.18","103.15","101.39M","0.29%"
"01/31/2021","104.90","92.68","105.82","92.55","227.63M","14.29%"
"01/24/2021","91.79","96.03","96.48","90.45","187.49M","-3.44%"
"01/17/2021","95.05","87.61","96.74","87.07","151.22M","9.50%"
"01/10/2021","86.81","89.30","89.72","86.08","123.66M","-3.93%"
"01/03/2021","90.36","87.88","90.49","84.95","199.31M","3.16%"
"12/27/2020","87.59","87.58","89.62","86.28","100.22M","0.75%"
